tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
9606	Homo sapiens	823	0	live	CAPN1	"CANP, CANP1, CANPL1, SPG76, muCANP, muCL"	calpain 1	"calpain-1 catalytic subunit|CANP 1|calcium-activated neutral proteinase 1|calpain 1, (mu/I) large subunit|calpain mu-type|calpain, large polypeptide L1|calpain-1 large subunit|cell proliferation-inducing gene 30 protein|cell proliferation-inducing protein 30|micromolar-calpain"	11q13.1	11	NC_000011.10	65181373	65212006	plus	25	114220
9606	Homo sapiens	3708	0	live	ITPR1	"ACV, CLA4, INSP3R1, IP3R, IP3R1, PPP1R94, SCA15, SCA16, SCA29"	"inositol 1,4,5-trisphosphate receptor type 1"	"inositol 1,4,5-trisphosphate receptor type 1|IP3 receptor|IP3R 1|inositol 1,4,5-triphosphate receptor, type 1|protein phosphatase 1, regulatory subunit 94|type 1 InsP3 receptor|type 1 inositol 1,4,5-trisphosphate receptor"	3p26.1	3	NC_000003.12	4493348	4847506	plus	62	147265
10090	Mus musculus	55994	0	live	Smad9	"MADH6, Madh8, Madh9, Smad8"	SMAD family member 9	mothers against decapentaplegic homolog 9|MAD homolog 9|mothers against DPP homolog 9	3 25.62 cM	3	NC_000069.7	54662873	54709162	plus	8	
9606	Homo sapiens	8291	0	live	DYSF	"FER1L1, LGMD2B, LGMDR2, MMD1"	dysferlin	dysferlin|dystrophy-associated fer-1-like 1|fer-1-like family member 1|fer-1-like protein 1|limb girdle muscular dystrophy 2B (autosomal recessive)	2p13.2	2	NC_000002.12	71453561	71686763	plus	58	603009
10090	Mus musculus	110784	0	live	Nr3c2	"MR, Mlr"	"nuclear receptor subfamily 3, group C, member 2"	mineralocorticoid receptor|aldosterone receptor	8 36.34 cM	8	NC_000074.7	77626422	77971641	plus	13	
9606	Homo sapiens	708	0	live	C1QBP	"COXPD33, GC1QBP, HABP1, SF2AP32, SF2p32, gC1Q-R, gC1qR, p32"	complement C1q binding protein	"complement component 1 Q subcomponent-binding protein, mitochondrial|ASF/SF2-associated protein p32|C1q globular domain-binding protein|complement component 1, q subcomponent binding protein|glycoprotein gC1qBP|hyaluronan-binding protein 1|mitochondrial matrix protein p32|p33|splicing factor SF2-associated protein"	17p13.2	17	NC_000017.11	5432777	5439155	minus	6	601269
9606	Homo sapiens	7879	0	live	RAB7A	"CMT2B, PRO2706, RAB7"	"RAB7A, member RAS oncogene family"	"ras-related protein Rab-7a|RAB7, member RAS oncogene family|Ras-associated protein RAB7"	3q21.3	3	NC_000003.12	128726183	128814798	plus	6	602298
10090	Mus musculus	22068	0	live	Trpc6	"LLHWJM002, LLHWJM003, LLHWJM004, TRP-6, Trrp6, mtrp6"	"transient receptor potential cation channel, subfamily C, member 6"	short transient receptor potential channel 6|calcium entry channel|transient receptor protein 6	9 2.46 cM	9	NC_000075.7	8543868	8680753	plus	15	
9606	Homo sapiens	29108	0	live	PYCARD	"ASC, CARD5, TMS, TMS-1, TMS1"	PYD and CARD domain containing	apoptosis-associated speck-like protein containing a CARD|caspase recruitment domain-containing protein 5|target of methylation-induced silencing 1	16p11.2	16	NC_000016.10	31201486	31202760	minus	3	606838
9606	Homo sapiens	4478	0	live	MSN	"HEL70, IMD50"	moesin	moesin|epididymis luminal protein 70|membrane-organizing extension spike protein	Xq12	X	NC_000023.11	65588377	65741931	plus	17	309845
9606	Homo sapiens	274	0	live	BIN1	"AMPH2, AMPHL, CNM2, SH3P9"	bridging integrator 1	myc box-dependent-interacting protein 1|amphiphysin 2|amphiphysin II|amphiphysin-like protein|box dependant MYC interacting protein 1|box-dependent myc-interacting protein 1	2q14.3	2	NC_000002.12	127048023	127107154	minus	22	601248
9606	Homo sapiens	1674	0	live	DES	"CDCD3, CSM1, CSM2, LGMD1D, LGMD1E, LGMD2R"	desmin	"desmin|cardiomyopathy, dilated 1F (autosomal dominant)|cardiomyopathy, dilated 1I|epididymis secretory sperm binding protein|intermediate filament protein"	2q35	2	NC_000002.12	219418377	219426734	plus	9	125660
10116	Rattus norvegicus	25163	0	live	Cdkn2a	"Arf, INK4A, MTS1, p16, p16Cdkn2a, p19ARF"	cyclin-dependent kinase inhibitor 2A	"cyclin-dependent kinase inhibitor 2A|CDK4I|Cyclin dependent kinase inhibitor 2A (p16, inhibits CDK4)|alternative reading frame|cell cycle inhibitor|cell cycle regulator|cyclin-dependent kinase 4 inhibitor A|cyclin-dependent kinase inhibitor 2a p16Ink4a|cyclin-dependent kinase inhibitor 2a p19Arf|p16-INK4|p16-INK4a"	5q32	5	NC_086023.1	109100763	109114448	minus	4	
9606	Homo sapiens	8398	0	live	PLA2G6	"CaI-PLA2, GVI, INAD1, IPLA2-VIA, NBIA2, NBIA2A, NBIA2B, PARK14, PLA2, PNPLA9, iPLA2, iPLA2beta"	phospholipase A2 group VI	"85/88 kDa calcium-independent phospholipase A2|2-lysophosphatidylcholine acylhydrolase|85 kDa calcium-independent phospholipase A2|GVI PLA2|iPLA2-beta|intracellular membrane-associated calcium-independent phospholipase A2 beta|neurodegeneration with brain iron accumulation 2|palmitoyl-CoA hydrolase|patatin-like phospholipase domain-containing protein 9|phospholipase A2, group VI (cytosolic, calcium-independent)"	22q13.1	22	NC_000022.11	38111495	38181830	minus	18	603604
9606	Homo sapiens	7498	0	live	XDH	"XAN1, XO, XOR"	xanthine dehydrogenase	xanthine dehydrogenase/oxidase|xanthine oxidoreductase	2p23.1	2	NC_000002.12	31334321	31414742	minus	37	607633
10090	Mus musculus	18761	0	live	Prkcq	"A130035A12Rik, PKC-0, PKC-theta, PKCtheta, Pkcq"	"protein kinase C, theta"	protein kinase C theta type|PKC theta|nPKC-theta	2 8.42 cM	2	NC_000068.8	11176922	11306033	plus	19	
10090	Mus musculus	16772	0	live	Lama1	Lama	"laminin, alpha 1"	laminin subunit alpha-1|S-LAM alpha|S-laminin subunit alpha|laminin A chain|laminin-1 subunit alpha|laminin-3 subunit alpha	17 38.8 cM	17	NC_000083.7	68004129	68129640	plus	65	
10090	Mus musculus	12985	0	live	Csf3	"Csfg, G-CSF, MGI-IG"	colony stimulating factor 3 (granulocyte)	granulocyte colony-stimulating factor	11 62.45 cM	11	NC_000077.7	98591287	98594457	plus	5	
10090	Mus musculus	13138	0	live	Dag1	"D9Wsu13e, DG, Dp427, Dp71"	dystroglycan 1	dystroglycan 1|dystrophin associated glycoprotein 1	9 59.08 cM	9	NC_000075.7	108082060	108141176	minus	6	
9606	Homo sapiens	10801	0	live	SEPTIN9	"AF17q25, MSF, MSF1, NAPB, PNUTL4, SEPT9, SINT1, SeptD1"	septin 9	septin-9|MLL septin-like fusion protein MSF-A|Ov/Br septin|ovarian/breast septin|peanut-like 4|septin D1	17q25.3	17	NC_000017.11	77281499	77500596	plus	21	604061
10090	Mus musculus	14394	0	live	Gabra1	"GABAA-alpha1, GABAAR-alpha1, Gabra-1"	gamma-aminobutyric acid type A receptor subunit alpha 1	"gamma-aminobutyric acid receptor subunit alpha-1|GABA(A) receptor subunit alpha-1|GABAA alpha 1|GABAAR alpha1|gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1"	11 24.97 cM	11	NC_000077.7	42021766	42073893	minus	12	
10090	Mus musculus	16202	0	live	Ilk	"ESTM24, ILK-1, ILK-2, p59ILK"	integrin linked kinase	integrin-linked protein kinase|59 kDa serine/threonine-protein kinase|beta-integrin-linked kinase|integrin binding protein kinase	7 55.97 cM	7	NC_000073.7	105385797	105392132	plus	14	
9606	Homo sapiens	406976	0	live	MIR199A1	"MIR-199-s, MIRN199A1, mir-199a-1"	microRNA 199a-1	hsa-mir-199a-1|miR-199a-3p	19p13.2	19	NC_000019.10	10817426	10817496	minus	1	610719
9606	Homo sapiens	825	0	live	CAPN3	"CANP3, CANPL3, LGMD2, LGMD2A, LGMDD4, LGMDR1, nCL-1, p94"	calpain 3	"calpain-3|calpain p94, large [catalytic] subunit|calpain, large polypeptide L3|muscle-specific calcium-activated neutral protease 3 large subunit|new calpain 1"	15q15.1	15	NC_000015.10	42359501	42412317	plus	26	114240
10090	Mus musculus	19878	0	live	Rock2	"B230113H15Rik, ROKalpha, Rho-kinase, Rock-IIm, mKIAA0619, Rock2"	Rho-associated coiled-coil containing protein kinase 2	"rho-associated protein kinase 2|Rho-associated coiled-coil forming kinage 2|p164 ROCK-2|rho-associated, coiled-coil-containing protein kinase 2|rho-associated, coiled-coil-containing protein kinase II"	12 8.04 cM	12	NC_000078.7	16944808	17038275	plus	37	
10090	Mus musculus	15530	0	live	Hspg2	"HSPG, Pcn, Plc, per"	perlecan (heparan sulfate proteoglycan 2)	basement membrane-specific heparan sulfate proteoglycan core protein	4 69.93 cM	4	NC_000070.7	137196062	137297941	plus	99	
9606	Homo sapiens	3339	0	live	HSPG2	"HSPG, PLC, PRCAN, SJA, SJS, SJS1"	heparan sulfate proteoglycan 2	basement membrane-specific heparan sulfate proteoglycan core protein|endorepellin (domain V region)|perlecan proteoglycan	1p36.12	1	NC_000001.11	21822244	21937310	minus	103	142461
9606	Homo sapiens	5339	0	live	PLEC	"EBS1, EBS5A, EBS5B, EBS5C, EBS5D, EBSMD, EBSND, EBSO, EBSOG, EBSPA, HD1, LGMD2Q, LGMDR17, PCN1, PLEC1b, PLTN, PLEC"	plectin	"plectin|hemidesmosomal protein 1|plectin 1, intermediate filament binding protein 500kDa"	8q24.3	8	NC_000008.11	143915153	143976745	minus	43	601282
9606	Homo sapiens	7013	0	live	TERF1	"PIN2, TRBF1, TRF, TRF1, hTRF1-AS, t-TRF1"	telomeric repeat binding factor 1	telomeric repeat-binding factor 1|NIMA-interacting protein 2|TTAGGG repeat-binding factor 1|telomeric protein Pin2/TRF1|telomeric repeat binding factor (NIMA-interacting) 1	8q21.11	8	NC_000008.11	73008864	73048123	plus	14	600951
9606	Homo sapiens	2318	0	live	FLNC	"ABP-280, ABP280A, ABPA, ABPL, ARVC15, CMH26, FLN2, MFM5, MPD4, RCM5"	filamin C	"filamin-C|ABP-280-like protein|ABP-L, gamma filamin|actin binding protein 280|filamin C, gamma|filamin-2|gamma filamin"	7q32.1	7	NC_000007.14	128830406	128859272	plus	48	102565
10116	Rattus norvegicus	29693	0	live	Atp2a2	"Serca2, SercaII"	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	"sarcoplasmic/endoplasmic reticulum calcium ATPase 2|ATPase, Ca++ transporting, cardiac muscle, slow twitch 2|ATPase, Ca++ transporting, slow twitch 2|SR Ca(2+)-ATPase 2|calcium pump 2|endoplasmic reticulum class 1/2 Ca(2+) ATPase|sarco(endo)plasmic reticulum Ca(2+)-dependent ATPase 2"	12q16	12	NC_086030.1	39733519	39782942	plus	21	
10090	Mus musculus	22138	0	live	Ttn	"1100001C23Rik, 2310036G12Rik, 2310057K23Rik, 2310074I15Rik, D330041I19Rik, D830007G01Rik, L56, mdm, shru"	titin	titin|connectin	2 45.13 cM	2	NC_000068.8	76534324	76812901	minus	350	
9606	Homo sapiens	1639	0	live	DCTN1	"DAP-150, DP-150, HMND14, P135"	dynactin subunit 1	"dynactin subunit 1|150 kDa dynein-associated polypeptide|dynactin 1 (p150, glued homolog, Drosophila)"	2p13.1	2	NC_000002.12	74361155	74391866	minus	32	601143
9606	Homo sapiens	7170	0	live	TPM3	"CAPM1, CFTD, CMYP4A, CMYP4B, HEL-189, HEL-S-82p, NEM1, OK/SW-cl.5, TM-5, TM3, TM30, TM30nm, TM5nu, TPMsk3, TRK, hscp30, TPM3"	tropomyosin 3	"tropomyosin alpha-3 chain|alpha-tropomyosin, slow skeletal|cytoskeletal tropomyosin TM30|epididymis luminal protein 189|epididymis secretory sperm binding protein Li 82p|heat-stable cytoskeletal protein 30 kDa|tropomyosin 3 nu|tropomyosin gamma|tropomyosin-5"	1q21.3	1	NC_000001.11	154155308	154192100	minus	16	191030
9606	Homo sapiens	2010	0	live	EMD	"EDMD, LEMD5, STA"	emerin	emerin|LEM domain containing 5	Xq28	X	NC_000023.11	154379295	154381523	plus	6	300384
9606	Homo sapiens	10020	0	live	GNE	"DMRV, GLCNE, IBM2, NM, THC12, Uae1"	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase|N-acylmannosamine kinase|UDP-GlcNAc-2-epimerase/ManAc kinase|UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	9p13.3	9	NC_000009.12	36214441	36276978	minus	14	603824
10090	Mus musculus	208727	0	live	Hdac4	"4932408F19Rik, HD4"	histone deacetylase 4	histone deacetylase 4	1 46.24 cM	1	NC_000067.7	91856501	92123424	minus	35	
10090	Mus musculus	26395	0	live	Map2k1	"MAPKK1, MEKK1, Mek1, Prkmk1"	mitogen-activated protein kinase kinase 1	"dual specificity mitogen-activated protein kinase kinase 1|ERK activator kinase 1|MAP kinase kinase 1|MAPK/ERK kinase 1|protein kinase, mitogen activated, kinase 1, p45"	9 34.55 cM	9	NC_000075.7	64093066	64160887	minus	12	
9606	Homo sapiens	5873	0	live	RAB27A	"GS2, HsT18676, RAB27, RAM"	"RAB27A, member RAS oncogene family"	ras-related protein Rab-27A|GTP-binding protein Ram|mutant Ras-related protein Rab-27A|rab-27	15q21.3	15	NC_000015.10	55202966	55289813	minus	13	603868
10090	Mus musculus	109305	0	live	Orai1	"D730049H07Rik, Tmem142a, orai-1"	ORAI calcium release-activated calcium modulator 1	calcium release-activated calcium channel protein 1|calcium release-activated calcium channel 1|protein orai-1|transmembrane protein 142A	5 62.72 cM	5	NC_000071.7	123153078	123168515	plus	3	
9606	Homo sapiens	100288687	0	live	DUX4	DUX4L	double homeobox 4	double homeobox protein 4|double homeobox protein 10|double homeobox protein 4/10	4q35.2	4	NC_000004.12	190173774	190185911	plus	7	606009
9606	Homo sapiens	859	0	live	CAV3	"LGMD1C, LQT9, MPDT, RMD2, VIP-21, VIP21"	caveolin 3	caveolin-3|M-caveolin|cavolin 3	3p25.3	3	NC_000003.12	8733802	8746758	plus	2	601253
9606	Homo sapiens	65125	0	live	WNK1	"HSAN2, HSN2, KDP, PPP1R167, PRKWNK1, PSK, p65"	WNK lysine deficient protein kinase 1	"serine/threonine-protein kinase WNK1|erythrocyte 65 kDa protein|prostate-derived sterile 20-like kinase|protein kinase with no lysine 1|protein phosphatase 1, regulatory subunit 167|serine/threonine-protein kinase WNK1 1|serine/threonine-protein kinase WNK1 2"	12p13.33	12	NC_000012.12	752579	911452	plus	31	605232
10090	Mus musculus	11819	0	live	Nr2f2	"2700033K02Rik, 9430015G03Rik, ARP-1, Aporp1, COUP-TF2, COUP-TFII, COUPTFB, EAR3, SVP40, Tcfcoup2"	"nuclear receptor subfamily 2, group F, member 2"	COUP transcription factor 2|COUP transcription factor II|COUP-TF II|apolipoprotein AI regulatory protein 1|apolipoprotein regulatory protein 1	7 38.66 cM	7	NC_000073.7	70001694	70016494	minus	5	
9606	Homo sapiens	70	0	live	ACTC1	"ACTC, ASD5, CMD1R, CMH11, LVNC4"	actin alpha cardiac muscle 1	"actin, alpha cardiac muscle 1"	15q14	15	NC_000015.10	34790230	34795549	minus	8	102540
9606	Homo sapiens	11091	0	live	WDR5	"BIG-3, BIG3, CFAP89, SWD3"	WD repeat domain 5	"WD repeat-containing protein 5|BMP-2-induced gene 3 kb|BMP2-induced 3-kb gene protein|SWD3, Set1c WD40 repeat protein, homolog|cilia and flagella associated protein 89"	9q34.2	9	NC_000009.12	134135199	134159968	plus	19	609012
9606	Homo sapiens	9782	0	live	MATR3	"ALS21, MPD2, VCPDM"	matrin 3	matrin-3|vocal cord and pharyngeal weakness with distal myopathy	5q31.2	5	NC_000005.10	139274101	139331677	plus	23	164015
10090	Mus musculus	14164	0	live	Fgf1	"Dffrx, Fam, Fgf-1, Fgf2b, Fgfa"	fibroblast growth factor 1	fibroblast growth factor 1|HBGF-1|aFGF|acidic fibroblast growth factor|fibroblast growth factor 1 (acidic)|fibroblast growth factor 2b|heparin-binding growth factor 1	18 20.74 cM	18	NC_000084.7	38971725	39062532	minus	14	
9606	Homo sapiens	8106	0	live	PABPN1	"OPMD, PAB2, PABII, PABP-2, PABP2"	poly(A) binding protein nuclear 1	polyadenylate-binding protein 2|poly(A) binding protein 2|poly(A) binding protein II	14q11.2	14	NC_000014.9	23321457	23326163	plus	6	602279
10090	Mus musculus	26903	0	live	Dysf	"2310004N10Rik, D6Pas3"	dysferlin	dysferlin|dysferlin_a|dystrophy-associated fer-1-like protein|fer-1-like protein 1	6 36.14 cM	6	NC_000072.7	83985344	84188042	plus	64	
9606	Homo sapiens	10725	0	live	NFAT5	"NF-AT5, NFATL1, NFATZ, OREBP, TONEBP"	nuclear factor of activated T cells 5	"nuclear factor of activated T-cells 5|NFAT-like protein 1|T-cell transcription factor NFAT5|TonE-binding protein|glutamine rich protein H65|nuclear factor of activated T-cells 5, tonicity-responsive|osmotic response element-binding protein|tonicity-responsive enhancer-binding protein"	16q22.1	16	NC_000016.10	69565966	69704654	plus	17	604708
9606	Homo sapiens	10468	0	live	FST	FS	follistatin	follistatin|activin-binding protein	5q11.2	5	NC_000005.10	53480629	53487134	plus	7	136470
9606	Homo sapiens	824	0	live	CAPN2	"CANP2, CANPL2, CANPml, mCANP"	calpain 2	"calpain-2 catalytic subunit|CANP 2|M-calpain|calcium-activated neutral proteinase 2|calpain 2, (m/II) large subunit|calpain 2, large [catalytic] subunit|calpain 2, large subunit|calpain M-type|calpain, large polypeptide L2|millimolar-calpain"	1q41	1	NC_000001.11	223701597	223776018	plus	23	114230
9606	Homo sapiens	2273	0	live	FHL1	"FCMSU, FHL-1A, FHL1B, FLH1A, KYOT, RBMX1A, RBMX1B, SLIM, SLIM-1, SLIM1, SLIMMER, XMPMA, FHL1"	four and a half LIM domains 1	"four and a half LIM domains protein 1|LIM protein SLIMMER|four-and-a-half Lin11, Isl-1 and Mec-3 domains 1|skeletal muscle LIM-protein 1"	Xq26.3	X	NC_000023.11	136146702	136211359	plus	17	300163
10090	Mus musculus	22063	0	live	Trpc1	"Mtrp1, Trp1, Trrp1"	"transient receptor potential cation channel, subfamily C, member 1"	short transient receptor potential channel 1|transient receptor protein 1|trp-related protein 1	9 50.2 cM	9	NC_000075.7	95587125	95632438	minus	15	
10090	Mus musculus	12391	0	live	Cav3	"Cav-3, M-cav"	caveolin 3	caveolin-3|M-caveolin	6 52.26 cM	6	NC_000072.7	112436466	112449833	plus	2	
10090	Mus musculus	12445	0	live	Ccnd3	9230106B05Rik	cyclin D3	G1/S-specific cyclin-D3	17 23.37 cM	17	NC_000083.7	47815976	47910614	plus	9	
9606	Homo sapiens	8910	0	live	SGCE	"DYT11, ESG, epsilon-SG"	sarcoglycan epsilon	"epsilon-sarcoglycan|dystonia 11, myoclonic"	7q21.3	7	NC_000007.14	94584980	94656133	minus	16	604149
9606	Homo sapiens	1605	0	live	DAG1	"156DAG, A3a, AGRNR, DAG, LGMDR16, MDDGA9, MDDGC7, MDDGC9"	dystroglycan 1	dystroglycan 1|dystroglycan 1 (dystrophin-associated glycoprotein 1)	3p21.31	3	NC_000003.12	49468948	49535615	plus	9	128239
7227	Drosophila melanogaster	36542	0	live	shot	"Dmel_CG18076, 42/4, CG18076, CG18637, Dmel\CG18076, EN2-12, Grv, Kak, Shot, Su(Mir)1, grv, kak, kakp, kop, l(2)CA4, l(2)k03010, l(2)k04204, l(2)k05434, l(2)k05821, l(2)k10821, l(2)k15606, shortstop/kakapo"	short stop	short stop|CG18076-PA|CG18076-PAA|CG18076-PAB|CG18076-PAC|CG18076-PAD|CG18076-PB|CG18076-PC|CG18076-PE|CG18076-PG|CG18076-PH|CG18076-PI|CG18076-PJ|CG18076-PK|CG18076-PL|CG18076-PM|CG18076-PN|CG18076-PO|CG18076-PP|CG18076-PQ|CG18076-PX|CG18076-PY|CG18076-PZ|enhancer of NA9 2-12|groovin|kakapo|kakapoo|kopupu|short-stop|shortshop|shortstop|shot-PA|shot-PAA|shot-PAB|shot-PAC|shot-PAD|shot-PB|shot-PC|shot-PE|shot-PG|shot-PH|shot-PI|shot-PJ|shot-PK|shot-PL|shot-PM|shot-PN|shot-PO|shot-PP|shot-PQ|shot-PX|shot-PY|shot-PZ|spectraplakin	2-68 cM	2R	NT_033778.4	13864237	13942110	minus	43	
9606	Homo sapiens	8087	0	live	FXR1	"CMYP9A, CMYP9BP, MYOPMIL, MYORIBF, FXR1"	FMR1 autosomal homolog 1	RNA-binding protein FXR1|FMR1 autosomal protein-like protein 1	3q26.33	3	NC_000003.12	180912670	180982753	plus	18	600819
9606	Homo sapiens	1158	0	live	CKM	"CKMM, CPK-M, M-CK"	"creatine kinase, M-type"	"creatine kinase M-type|creatine kinase M chain|creatine kinase, muscle|creatine phosphokinase M-type"	19q13.32	19	NC_000019.10	45306413	45322875	minus	8	123310
10090	Mus musculus	19215	0	live	Ptgds	"21kDa, L-PGDS, PGD2, PGDS, PGDS2, Ptgs3"	prostaglandin D2 synthase (brain)	"prostaglandin-H2 D-isomerase|PGD2 synthase|glutathione-independent PGD synthase|glutathione-independent PGD synthetase|lipocalin-type prostaglandin-D synthase|prostaglandin D2 synthase (21 kDa, brain)|prostaglandin-D2 synthase"	2 17.28 cM	2	NC_000068.8	25356723	25360080	minus	8	
9606	Homo sapiens	26353	0	live	HSPB8	"CMT2L, DHMN2, E2IG1, H11, HMN2, HMN2A, HMND2, HSP22-N1, HSPB8-N2, HSPB8"	heat shock protein family B (small) member 8	heat shock protein beta-8|E2-induced gene 1 protein|alpha-crystallin C chain|heat shock 22kDa protein 8|heat shock 27kDa protein 8|protein kinase H11|small stress protein-like protein HSP22	12q24.23	12	NC_000012.12	119178931	119194746	plus	3	608014
9606	Homo sapiens	3908	0	live	LAMA2	"LAMM, MDC1A"	laminin subunit alpha 2	"laminin subunit alpha-2|laminin M chain|laminin, alpha 2|laminin-12 subunit alpha|laminin-2 subunit alpha|laminin-4 subunit alpha|merosin heavy chain|mutant laminin subunit alpha 2"	6q22.33	6	NC_000006.12	128883138	129516566	plus	65	156225
9606	Homo sapiens	291	0	live	SLC25A4	"AAC1, ANT, ANT 1, ANT1, MTDPS12, MTDPS12A, PEO2, PEO3, PEOA2, T1"	solute carrier family 25 member 4	"ADP/ATP translocase 1|ADP,ATP carrier protein 1|ADP,ATP carrier protein, heart/skeletal muscle|ADP/ATP carrier 1|adenine nucleotide translocator 1 (skeletal muscle)|heart/skeletal muscle ATP/ADP translocator|progressive external ophthalmoplegia 2|progressive external ophthalmoplegia 3|solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"	4q35.1	4	NC_000004.12	185143266	185150382	plus	4	103220
9606	Homo sapiens	51062	0	live	ATL1	"AD-FSP, FSP1, GBP3, HSN1D, SPG3, SPG3A, atlastin1"	atlastin GTPase 1	atlastin-1|GBP-3|GTP-binding protein 3|brain-specific GTP-binding protein|guanine nucleotide-binding protein 3|guanylate-binding protein 3|hGBP3|spastic paraplegia 3 protein A	14q22.1	14	NC_000014.9	50533082	50633068	plus	15	606439
10090	Mus musculus	13040	0	live	Ctss	Cats	cathepsin S	cathepsin S|Cat S	3 40.74 cM	3	NC_000069.7	95434097	95463716	plus	9	
9606	Homo sapiens	1103	0	live	CHAT	"CHOACTASE, CMS1A, CMS1A2, CMS6"	choline O-acetyltransferase	choline O-acetyltransferase|acetyl CoA:choline O-acetyltransferase|choline acetylase	10q11.23	10	NC_000010.11	49609095	49667942	plus	18	118490
9606	Homo sapiens	3301	0	live	DNAJA1	"DJ-2, DjA1, HDJ2, HSDJ, HSJ-2, HSJ2, HSPF4, NEDD7, hDJ-2"	DnaJ heat shock protein family (Hsp40) member A1	"dnaJ homolog subfamily A member 1|DnaJ (Hsp40) homolog, subfamily A, member 1|dnaJ protein homolog 2|heat shock 40 kDa protein 4|heat shock protein J2|heat shock protein, DNAJ-like 2|human DnaJ protein 2|neural precursor cell expressed, developmentally down-regulated 7"	9p21.1	9	NC_000009.12	33025273	33039907	plus	9	602837
9606	Homo sapiens	1291	0	live	COL6A1	"BTHLM1, BTHLM1A, OPLL, UCHMD1, UCHMD1A"	collagen type VI alpha 1 chain	"collagen alpha-1(VI) chain|alpha 1 (VI) chain (61 AA)|collagen VI, alpha-1 polypeptide|collagen, type VI, alpha 1|epididymis secretory sperm binding protein"	21q22.3	21	NC_000021.9	45981770	46005048	plus	35	120220
10116	Rattus norvegicus	24907	0	live	Dmd	DNADMD1	dystrophin	"dystrophin|apodystrophin-3|apodystrophin-I|dystrophin, muscular dystrophy|dystrophin-related"	Xq21	X	NC_086039.1	51070098	53437845	plus	84	
10090	Mus musculus	67603	0	live	Dusp6	"1300019I03Rik, MKP-3, MKP3, PYST1"	dual specificity phosphatase 6	dual specificity protein phosphatase 6|MAP kinase phosphatase 3|mitogen-activated protein kinase phosphatase 3	10 51.13 cM	10	NC_000076.7	99098676	99103351	plus	3	
10090	Mus musculus	12833	0	live	Col6a1	Col6a-1	"collagen, type VI, alpha 1"	"collagen alpha-1(VI) chain|procollagen, type VI, alpha 1"	10 39.71 cM	10	NC_000076.7	76544626	76561869	minus	35	
9606	Homo sapiens	10049	0	live	DNAJB6	"DJ4, DnaJ, HHDJ1, HSJ-2, HSJ2, LGMD1D, LGMD1E, LGMDD1, MRJ, MSJ-1"	DnaJ heat shock protein family (Hsp40) member B6	"dnaJ homolog subfamily B member 6|DnaJ (Hsp40) homolog, subfamily B, member 6|DnaJ-like 2 protein|heat shock protein J2"	7q36.3	7	NC_000007.14	157337004	157417439	plus	12	611332
9606	Homo sapiens	54332	0	live	GDAP1	"CMT4, CMT4A, CMTRIA"	ganglioside induced differentiation associated protein 1	ganglioside-induced differentiation-associated protein 1|Charcot-Marie-Tooth neuropathy 4A	8q21.11	8	NC_000008.11	74350403	74488872	plus	8	606598
9606	Homo sapiens	1959	0	live	EGR2	"AT591, CMT1D, CMT4E, KROX20"	early growth response 2	"E3 SUMO-protein ligase EGR2|E3 SUMO-protein transferase ERG2|KROX-20, Drosophila, homolog (early growth response-2)|early growth response protein 2|zinc finger protein Krox-20"	10q21.3	10	NC_000010.11	62811996	62819167	minus	5	129010
9606	Homo sapiens	2195	0	live	FAT1	"CDHF7, CDHR8, FAT, ME5, hFat1"	FAT atypical cadherin 1	protocadherin Fat 1|FAT tumor suppressor 1|cadherin ME5|cadherin family member 7|cadherin-related family member 8|cadherin-related tumor suppressor homolog|protein fat homolog	4q35.2	4	NC_000004.12	186587794	186726696	minus	29	600976
559292	Saccharomyces cerevisiae S288C	855725	0	live	SIS1	YNL007C	type II HSP40 co-chaperone SIS1	type II HSP40 co-chaperone SIS1		XIV	NC_001146.8	618507	619565	minus	1	
9606	Homo sapiens	7169	0	live	TPM2	"AMCD1, CMYP23, DA1, DA2B, DA2B4, HEL-S-273, NEM4, TMSB"	tropomyosin 2	tropomyosin beta chain|epididymis secretory protein Li 273|nemaline myopathy type 4|tropomyosin 2 (beta)	9p13.3	9	NC_000009.12	35681993	35690056	minus	11	190990
9606	Homo sapiens	7840	0	live	ALMS1	ALSS	ALMS1 centrosome and basal body associated protein	centrosome-associated protein ALMS1|Alstrom syndrome 1|Alstrom syndrome protein 1	2p13.1	2	NC_000002.12	73385758	73609919	plus	23	606844
10090	Mus musculus	12778	0	live	Ackr3	"CXC-R7, CXCR-7, Cmkor1, Cxcr7, RDC-1, Rdc1"	atypical chemokine receptor 3	atypical chemokine receptor 3|C-X-C chemokine receptor type 7|G-protein coupled receptor RDC1 homolog|chemokine (C-X-C motif) receptor 7|chemokine orphan receptor 1	1 45.28 cM	1	NC_000067.7	90131702	90143446	plus	3	
